encoder,variant,quartile,horizon,mlp_cossim_mean,copy_cossim_mean,mlp_minus_copy,n_windows
vjepa2_rep1,unconditioned,Q4 (easiest),4,0.974791,0.988436,-0.013645,1355
vjepa2_rep64,conditioned,Q1 (hardest),1,0.982322,0.980024,0.002298,1355
vjepa2_rep64,conditioned,Q2,1,0.987773,0.993867,-0.006095,1355
vjepa2_rep64,conditioned,Q3,1,0.989755,0.996421,-0.006666,1354
vjepa2_rep64,conditioned,Q4 (easiest),1,0.990336,0.998222,-0.007885,1355
vjepa2_rep64,conditioned,Q1 (hardest),2,0.978506,0.967939,0.010567,1355
vjepa2_rep64,conditioned,Q2,2,0.983929,0.986409,-0.002481,1355
vjepa2_rep64,conditioned,Q3,2,0.986392,0.99122,-0.004828,1354
vjepa2_rep64,conditioned,Q4 (easiest),2,0.987418,0.994568,-0.00715,1355
vjepa2_rep64,conditioned,Q1 (hardest),3,0.973132,0.956528,0.016604,1355
vjepa2_rep64,conditioned,Q2,3,0.979023,0.978736,0.000287,1355
vjepa2_rep64,conditioned,Q3,3,0.982766,0.986522,-0.003756,1354
vjepa2_rep64,conditioned,Q4 (easiest),3,0.98422,0.991562,-0.007343,1355
vjepa2_rep64,conditioned,Q1 (hardest),4,0.968452,0.948069,0.020382,1355
vjepa2_rep64,conditioned,Q2,4,0.974666,0.972361,0.002305,1355
vjepa2_rep64,conditioned,Q3,4,0.979133,0.982084,-0.002951,1354
vjepa2_rep64,conditioned,Q4 (easiest),4,0.980905,0.988558,-0.007653,1355
vjepa2_rep64,unconditioned,Q1 (hardest),1,0.982677,0.980024,0.002653,1355
vjepa2_rep64,unconditioned,Q2,1,0.987883,0.993867,-0.005984,1355
vjepa2_rep64,unconditioned,Q3,1,0.990018,0.996421,-0.006403,1354
vjepa2_rep64,unconditioned,Q4 (easiest),1,0.990237,0.998222,-0.007985,1355
vjepa2_rep64,unconditioned,Q1 (hardest),2,0.978157,0.967939,0.010218,1355
vjepa2_rep64,unconditioned,Q2,2,0.9835,0.986409,-0.002909,1355
vjepa2_rep64,unconditioned,Q3,2,0.986126,0.99122,-0.005094,1354
vjepa2_rep64,unconditioned,Q4 (easiest),2,0.98683,0.994568,-0.007738,1355
vjepa2_rep64,unconditioned,Q1 (hardest),3,0.972096,0.956528,0.015568,1355
vjepa2_rep64,unconditioned,Q2,3,0.978136,0.978736,-0.0006,1355
vjepa2_rep64,unconditioned,Q3,3,0.982187,0.986522,-0.004335,1354
vjepa2_rep64,unconditioned,Q4 (easiest),3,0.983404,0.991562,-0.008158,1355
vjepa2_rep64,unconditioned,Q1 (hardest),4,0.967421,0.948069,0.019352,1355
vjepa2_rep64,unconditioned,Q2,4,0.973522,0.972361,0.00116,1355
vjepa2_rep64,unconditioned,Q3,4,0.978406,0.982084,-0.003678,1354
vjepa2_rep64,unconditioned,Q4 (easiest),4,0.980244,0.988558,-0.008314,1355
vq_track,conditioned,Q1 (hardest),1,0.987808,0.987959,-0.000151,1355
vq_track,conditioned,Q2,1,0.994102,0.99582,-0.001718,1355
vq_track,conditioned,Q3,1,0.996147,0.997863,-0.001716,1354
vq_track,conditioned,Q4 (easiest),1,0.996141,0.999381,-0.00324,1355
vq_track,conditioned,Q1 (hardest),2,0.984612,0.983996,0.000615,1355
vq_track,conditioned,Q2,2,0.991353,0.993012,-0.001658,1355
vq_track,conditioned,Q3,2,0.994131,0.995926,-0.001796,1354
vq_track,conditioned,Q4 (easiest),2,0.994657,0.998658,-0.004002,1355
vq_track,conditioned,Q1 (hardest),3,0.982229,0.980978,0.001251,1355
vq_track,conditioned,Q2,3,0.989328,0.991027,-0.001699,1355
vq_track,conditioned,Q3,3,0.992574,0.99425,-0.001677,1354
vq_track,conditioned,Q4 (easiest),3,0.993303,0.998039,-0.004735,1355
vq_track,conditioned,Q1 (hardest),4,0.98061,0.97903,0.00158,1355
vq_track,conditioned,Q2,4,0.987225,0.988862,-0.001636,1355
vq_track,conditioned,Q3,4,0.991281,0.993145,-0.001864,1354
vq_track,conditioned,Q4 (easiest),4,0.992384,0.997438,-0.005053,1355
vq_track,unconditioned,Q1 (hardest),1,0.990202,0.987959,0.002243,1355
vq_track,unconditioned,Q2,1,0.995285,0.99582,-0.000535,1355
vq_track,unconditioned,Q3,1,0.99683,0.997863,-0.001033,1354
vq_track,unconditioned,Q4 (easiest),1,0.995988,0.999381,-0.003393,1355
vq_track,unconditioned,Q1 (hardest),2,0.987591,0.983996,0.003594,1355
vq_track,unconditioned,Q2,2,0.992731,0.993012,-0.00028,1355
vq_track,unconditioned,Q3,2,0.994855,0.995926,-0.001072,1354
vq_track,unconditioned,Q4 (easiest),2,0.993725,0.998658,-0.004934,1355
vq_track,unconditioned,Q1 (hardest),3,0.985358,0.980978,0.004379,1355
vq_track,unconditioned,Q2,3,0.99078,0.991027,-0.000246,1355
vq_track,unconditioned,Q3,3,0.993274,0.99425,-0.000977,1354
vq_track,unconditioned,Q4 (easiest),3,0.991951,0.998039,-0.006088,1355
vq_track,unconditioned,Q1 (hardest),4,0.98363,0.97903,0.0046,1355
vq_track,unconditioned,Q2,4,0.988963,0.988862,0.000102,1355
vq_track,unconditioned,Q3,4,0.992402,0.993145,-0.000743,1354
vq_track,unconditioned,Q4 (easiest),4,0.99122,0.997438,-0.006218,1355
