encoder,model,seed,cossim_h1,cossim_h2,cossim_h3,cossim_h4,mse_h1,mse_h2,mse_h3,mse_h4,z_hat_norm_ratio,n_test
vit_s16,mlp_residual,1,0.9135456243593505,0.877787796811746,0.8541658890381535,0.8396322197922043,1.0824666789678392,1.5247760226440994,1.8165986183759228,1.9974134993918335,0.9510864938250888,5419
vit_s16,dit_x0,2,0.8490847305830037,0.8420212100321658,0.8366249128117467,0.8304696773818375,1.9054100739161761,1.996150312971026,2.0642506454588854,2.1418415378613496,0.9738658442038584,5419
vit_s16,mlp_residual,2,0.9133596847936838,0.8772001123929908,0.853761345989525,0.8396273343891736,1.0855763578441315,1.5297849306344855,1.8205046758459908,1.9988563539005553,0.9512150866470408,5419
vjepa2_rep1,dit_x0,0,0.9786090298230455,0.9755263503659451,0.9725025280482392,0.9690276359055486,0.12863695280515394,0.1470695108169778,0.16502044596428317,0.1858118953553485,0.9893338254161801,5419
vjepa2_rep1,mlp_residual,0,0.9880980635771652,0.9813808484102972,0.976554829776452,0.9723718829382871,0.07910051018489113,0.12317737531653188,0.15481941784455516,0.18246305431028775,0.9920676038609162,5419
vjepa2_rep1,dit_x0,1,0.9786062801999565,0.9762168133868175,0.973789740233519,0.9711714162226422,0.13577435332968965,0.15073469512729676,0.16594479202366244,0.18261523641856267,0.9874122040220912,5419
vjepa2_rep1,mlp_residual,1,0.9872974065600076,0.9803660959967786,0.9753784331740389,0.9709207112772875,0.08094266510731313,0.12477581317100518,0.15616986561930252,0.1842875402337578,0.9915025627300506,5419
vjepa2_rep1,dit_x0,2,0.9752502180945282,0.9728849945659677,0.9698814579340161,0.9670090394654515,0.14265247045968552,0.15629672278203435,0.17363217224998215,0.18959627021258774,0.9916020882677463,5419
vjepa2_rep1,mlp_residual,2,0.9871841130781974,0.9800830755886677,0.9749980292256016,0.9703462427888635,0.07723749671657272,0.11946748402488695,0.14943385126406383,0.17700788287972147,0.9912239909293348,5419
vjepa2_rep64,dit_x0,0,0.9849731774760427,0.9830221544664534,0.9796444832519712,0.9759075561117964,0.07953054131914228,0.08954588626446947,0.10704506026530403,0.1262476625071172,0.9890873413445362,5419
vjepa2_rep64,mlp_residual,0,0.9936958175014363,0.9879490003569976,0.982756116817437,0.9783486392494056,0.03699362873041139,0.07031838918968548,0.10042235397680986,0.1259492375485944,0.9949866627462937,5419
vjepa2_rep64,dit_x0,1,0.9855331777096411,0.983724514218049,0.9805619246318653,0.9769725887554117,0.07942266665738675,0.08919367664391362,0.10623762501542211,0.12548288288845041,0.9917784147455867,5419
vjepa2_rep64,mlp_residual,1,0.9935920421081532,0.9880771457456007,0.9829684347436753,0.9787693273583381,0.037311345861283235,0.06918549432066406,0.0986209651556682,0.12267629694159916,0.994090345181624,5419
vjepa2_rep64,dit_x0,2,0.9847606751152809,0.9829763949940314,0.9795660746451739,0.9757287454332323,0.07978275539822674,0.08889517196321602,0.10636351086112665,0.1257844086084051,0.9909714813515872,5419
vjepa2_rep64,mlp_residual,2,0.9935762673247936,0.987734422051922,0.9821930917168614,0.9776096277119027,0.03505240885352138,0.0665168126013517,0.09634818659428851,0.12101764950855211,0.9944824963289773,5419
vq_track,dit_x0,0,0.9911055528803007,0.9899836306335258,0.9886360682339482,0.9877913567077896,0.002191025208290663,0.0025382248056091093,0.0031363690572045436,0.0032820143603018055,0.9974501715028038,5419
vq_track,mlp_residual,0,0.9943315977978957,0.9918277794682555,0.9899433753349218,0.9881756513799375,0.0012035739188249051,0.0019225838067723961,0.002383397984579494,0.002859243416402872,0.9912507581593117,5419
vq_track,dit_x0,1,0.9903336148526884,0.9890695548317138,0.987924754256625,0.9871228765926583,0.00212023158570259,0.0024397159705062616,0.0027754588035787905,0.0030328556297174744,1.0002714923923912,5419
vq_track,mlp_residual,1,0.9940128998686893,0.9914953418709868,0.9893814554335909,0.9877379875513961,0.0012338474203154794,0.0019546641182263723,0.00247976700028583,0.0028946111798506423,0.9931245315728248,5419
vq_track,dit_x0,2,0.9903272054010177,0.9889160426566248,0.9879341526738963,0.986704778310491,0.001991454731177351,0.0024261875866930693,0.002710244252461088,0.0030124818651487873,0.9912466420985739,5419
vq_track,mlp_residual,2,0.9941987704473968,0.9917761624398366,0.9898204476130715,0.9881042055283817,0.001243850085654037,0.001928135471854687,0.002408240644581249,0.0028643007736503913,0.9932227815132081,5419
