copy_cossim,cossim,encoder,horizon_step,horizon_trained,model,n_windows,seed
0.785318,0.775535,vit_s16,13,16,dit_x0_single,3619,0
0.781305,0.77242,vit_s16,14,16,dit_x0_single,3619,0
0.777207,0.772004,vit_s16,15,16,dit_x0_single,3619,0
0.773482,0.770082,vit_s16,16,16,dit_x0_single,3619,0
0.922684,0.918166,vit_s16,1,16,mlp_residual_single,3619,0
0.892281,0.88429,vit_s16,2,16,mlp_residual_single,3619,0
0.870598,0.85962,vit_s16,3,16,mlp_residual_single,3619,0
0.85491,0.842962,vit_s16,4,16,mlp_residual_single,3619,0
0.842103,0.829946,vit_s16,5,16,mlp_residual_single,3619,0
0.831306,0.820689,vit_s16,6,16,mlp_residual_single,3619,0
0.822286,0.813436,vit_s16,7,16,mlp_residual_single,3619,0
0.814083,0.807321,vit_s16,8,16,mlp_residual_single,3619,0
0.807286,0.803452,vit_s16,9,16,mlp_residual_single,3619,0
0.801078,0.798995,vit_s16,10,16,mlp_residual_single,3619,0
0.795418,0.795028,vit_s16,11,16,mlp_residual_single,3619,0
0.790112,0.790048,vit_s16,12,16,mlp_residual_single,3619,0
0.785318,0.785717,vit_s16,13,16,mlp_residual_single,3619,0
0.781305,0.78123,vit_s16,14,16,mlp_residual_single,3619,0
0.777207,0.778792,vit_s16,15,16,mlp_residual_single,3619,0
0.773482,0.777102,vit_s16,16,16,mlp_residual_single,3619,0
0.922684,0.836662,vit_s16,1,16,dit_x0_actseq,3619,1
0.892281,0.828105,vit_s16,2,16,dit_x0_actseq,3619,1
0.870598,0.821196,vit_s16,3,16,dit_x0_actseq,3619,1
0.85491,0.814172,vit_s16,4,16,dit_x0_actseq,3619,1
0.842103,0.809892,vit_s16,5,16,dit_x0_actseq,3619,1
0.831306,0.805553,vit_s16,6,16,dit_x0_actseq,3619,1
0.822286,0.802635,vit_s16,7,16,dit_x0_actseq,3619,1
0.814083,0.799314,vit_s16,8,16,dit_x0_actseq,3619,1
0.807286,0.797799,vit_s16,9,16,dit_x0_actseq,3619,1
0.801078,0.794385,vit_s16,10,16,dit_x0_actseq,3619,1
0.795418,0.791246,vit_s16,11,16,dit_x0_actseq,3619,1
0.790112,0.788338,vit_s16,12,16,dit_x0_actseq,3619,1
0.785318,0.785715,vit_s16,13,16,dit_x0_actseq,3619,1
0.781305,0.783648,vit_s16,14,16,dit_x0_actseq,3619,1
0.777207,0.77971,vit_s16,15,16,dit_x0_actseq,3619,1
0.773482,0.778237,vit_s16,16,16,dit_x0_actseq,3619,1
0.922684,0.912984,vit_s16,1,16,mlp_flat_actseq,3619,1
0.892281,0.876941,vit_s16,2,16,mlp_flat_actseq,3619,1
0.870598,0.855603,vit_s16,3,16,mlp_flat_actseq,3619,1
0.85491,0.842258,vit_s16,4,16,mlp_flat_actseq,3619,1
0.842103,0.83328,vit_s16,5,16,mlp_flat_actseq,3619,1
0.831306,0.826729,vit_s16,6,16,mlp_flat_actseq,3619,1
0.822286,0.819766,vit_s16,7,16,mlp_flat_actseq,3619,1
0.814083,0.815503,vit_s16,8,16,mlp_flat_actseq,3619,1
0.807286,0.811363,vit_s16,9,16,mlp_flat_actseq,3619,1
0.801078,0.807283,vit_s16,10,16,mlp_flat_actseq,3619,1
0.795418,0.803243,vit_s16,11,16,mlp_flat_actseq,3619,1
0.790112,0.799754,vit_s16,12,16,mlp_flat_actseq,3619,1
0.785318,0.796059,vit_s16,13,16,mlp_flat_actseq,3619,1
0.781305,0.792752,vit_s16,14,16,mlp_flat_actseq,3619,1
0.777207,0.789508,vit_s16,15,16,mlp_flat_actseq,3619,1
0.773482,0.784507,vit_s16,16,16,mlp_flat_actseq,3619,1
0.922684,0.801749,vit_s16,1,16,dit_x0_single,3619,1
0.892281,0.799828,vit_s16,2,16,dit_x0_single,3619,1
0.870598,0.796785,vit_s16,3,16,dit_x0_single,3619,1
0.85491,0.79382,vit_s16,4,16,dit_x0_single,3619,1
0.842103,0.794079,vit_s16,5,16,dit_x0_single,3619,1
0.831306,0.790661,vit_s16,6,16,dit_x0_single,3619,1
0.822286,0.789369,vit_s16,7,16,dit_x0_single,3619,1
0.814083,0.78664,vit_s16,8,16,dit_x0_single,3619,1
0.807286,0.786397,vit_s16,9,16,dit_x0_single,3619,1
0.801078,0.784684,vit_s16,10,16,dit_x0_single,3619,1
0.795418,0.780893,vit_s16,11,16,dit_x0_single,3619,1
0.790112,0.77989,vit_s16,12,16,dit_x0_single,3619,1
0.785318,0.777229,vit_s16,13,16,dit_x0_single,3619,1
0.781305,0.776596,vit_s16,14,16,dit_x0_single,3619,1
0.777207,0.773471,vit_s16,15,16,dit_x0_single,3619,1
0.773482,0.771493,vit_s16,16,16,dit_x0_single,3619,1
0.922684,0.919512,vit_s16,1,16,mlp_residual_single,3619,1
