encoder,variant,seed,t_start,n_ddim_steps,guidance_w,cossim_h1,cossim_h2,cossim_h3,cossim_h4,mse_h1,z_hat_norm_ratio
vit_s16,conditioned,0,40,5,1.0,0.9217043924340464,0.8917339111654757,0.8707071146988785,0.854884719778238,1.0145667944255405,0.9998183988633959
vit_s16,conditioned,0,100,5,1.0,0.9177704709199637,0.8881333128159546,0.8673392487839373,0.8516953850742811,1.0654309077948347,0.9997889212761507
vit_s16,conditioned,0,200,5,1.0,0.9202933197950697,0.8924962811242129,0.8727289035457112,0.8576779792308368,1.019144383099801,0.985617388843079
vit_s16,conditioned,0,400,5,1.0,0.9129231592499697,0.8871888686731131,0.8686367013089704,0.8543806003895077,1.1086772514634697,0.9803678392148921
vit_s16,conditioned,0,600,5,1.0,0.9017986270153427,0.8784450735854892,0.8613579970572922,0.8480773358398708,1.246517834308777,0.9764181263534925
vit_s16,conditioned,0,800,5,1.0,0.8783889167927842,0.8585572468880293,0.843819887309436,0.8320478779690185,1.5472505586704748,0.977854628811254
vit_s16,conditioned,0,980,5,1.0,0.813876766409683,0.804624242478135,0.7979881369687024,0.7920610350774078,2.2371059881626714,0.904585710223484
vit_s16,conditioned,1,0,5,1.0,0.9226523577276027,0.892598975956451,0.8715160402958629,0.8556540018079202,1.0023053319367519,0.9998280309865961
vit_s16,conditioned,1,40,5,1.0,0.9217412469571401,0.8917243353531664,0.8706962696673092,0.8548617041799542,1.0140727660514746,0.9998243900151011
vit_s16,conditioned,1,100,5,1.0,0.9178450810203123,0.8881147292778268,0.8673192538289396,0.8516440545529276,1.064440564093807,0.9998023832891783
vit_s16,conditioned,1,200,5,1.0,0.92040457956948,0.8924761144057656,0.8726665745320015,0.8576010137185947,1.018719735280199,0.9865627479287494
vit_s16,conditioned,1,400,5,1.0,0.9134277200144493,0.8875545544649847,0.86898645181721,0.8547264341279399,1.1031560019651316,0.9809721970951208
vit_s16,conditioned,1,600,5,1.0,0.9027439771399857,0.879286123875169,0.8621955057817492,0.8489140413590167,1.2354332518590774,0.9767789911012885
vit_s16,conditioned,1,800,5,1.0,0.8804086064650005,0.860730149557195,0.8457439392337633,0.8340504778819586,1.5235063560247906,0.9784570812376814
vit_s16,conditioned,1,980,5,1.0,0.818181130296081,0.8089947268452058,0.8023217625889881,0.7961083211721056,2.1853625446607494,0.9022850894383865
vit_s16,conditioned,2,0,5,1.0,0.9226523605433969,0.8925989822919881,0.8715160409998115,0.8556540025118687,1.0023053314087904,0.9998280309865961
vit_s16,conditioned,2,40,5,1.0,0.9217032851229561,0.891724442353348,0.8707354408851253,0.8549135816693416,1.0145199742786206,0.9998218138560245
vit_s16,conditioned,2,100,5,1.0,0.9177624198602429,0.888109461630726,0.8674048476387245,0.8517625790765132,1.0654093157565336,0.999798174658771
vit_s16,conditioned,2,200,5,1.0,0.9202342380960834,0.8923692282637804,0.8727056697233728,0.8576834812928091,1.0207449122314678,0.9866138218642962
vit_s16,conditioned,2,400,5,1.0,0.9128734731524605,0.8870215415074654,0.8687070461849727,0.8545452715572253,1.1099645488265257,0.9809706803249697
vit_s16,conditioned,2,600,5,1.0,0.9018031041282066,0.8782849506294403,0.8615917931581516,0.8485199449070707,1.2468430018772563,0.9764787103836517
vit_s16,conditioned,2,800,5,1.0,0.8788959195548306,0.8589654525810336,0.8447016870696115,0.8334913906696473,1.5408531304412407,0.9772641162042103
vit_s16,conditioned,2,980,5,1.0,0.8188668824931664,0.808830734987852,0.8025785158604004,0.7970734240934404,2.1757480179962143,0.9016356948740051
vjepa2_rep1,conditioned,0,0,5,1.0,0.9871259655189549,0.9786618330047939,0.9718711410947646,0.9663418989644365,0.07558453542804736,1.0001158311657075
vjepa2_rep1,conditioned,0,40,5,1.0,0.9867999408930996,0.9783697386996996,0.9715915566595922,0.9660801180923836,0.07749160706809931,1.0001101987876981
vjepa2_rep1,conditioned,0,100,5,1.0,0.9854632009987374,0.9771416659371882,0.9704314297163787,0.9649875603559867,0.08532388420601264,1.0001113597568339
vjepa2_rep1,conditioned,0,200,5,1.0,0.9866860201931194,0.9785370531942731,0.971907783025392,0.9665166232215894,0.07803849866852634,0.9984271002246935
vjepa2_rep1,conditioned,0,400,5,1.0,0.9856245157397042,0.9777356373205641,0.9712345857509367,0.9659775844643665,0.08426340498768507,0.9977982173365759
vjepa2_rep1,conditioned,0,600,5,1.0,0.9838451175017426,0.9763297858680828,0.970032447861402,0.9649845284495236,0.09471383154623225,0.9968384367702114
vjepa2_rep1,conditioned,0,800,5,1.0,0.9786323488231602,0.9717934526273477,0.9659672835850368,0.9613318167878464,0.125630223766467,0.9969434192497779
vjepa2_rep1,conditioned,0,980,5,1.0,0.9576612508787531,0.9554731886772723,0.9538103263082045,0.9524858442701786,0.24517243602307087,0.9628734351176093
vjepa2_rep1,conditioned,1,0,5,1.0,0.9882295886228216,0.9804541099817248,0.9741424592928509,0.9689181500815184,0.07534214181639563,1.0000630996346644
vjepa2_rep1,conditioned,1,40,5,1.0,0.9879312355110491,0.9801759932793074,0.9738836174060507,0.9686767731585787,0.07725268130505694,1.000071445579791
vjepa2_rep1,conditioned,1,100,5,1.0,0.9866896335610958,0.9790213141940268,0.9728032985193787,0.9676597885241652,0.08520789983682163,1.0000956088150885
vjepa2_rep1,conditioned,1,200,5,1.0,0.9878445921139559,0.9803334011057466,0.9742001795553153,0.9690888378976081,0.07770629229636226,0.9984856241791792
vjepa2_rep1,conditioned,1,400,5,1.0,0.9869302699301467,0.9796515431521146,0.9736849912793726,0.9686778100748127,0.08356817940280631,0.9979932179117267
vjepa2_rep1,conditioned,1,600,5,1.0,0.9853759141926572,0.9784373987158806,0.9727320687800322,0.9678920514250532,0.09357646438199493,0.997554001713268
