model,encoder,variant,horizon,cossim_mean,cossim_std_seed,mse_mean,mse_std_seed,n_seeds,n_test_windows,source
dit,vjepa2_rep1,conditioned,3,0.7482797091551472,0.0099902532380129,2.493192702881956,0.01104070146756551,3,5419,rollout_results.json
dit,vjepa2_rep1,conditioned,4,0.7463937846102411,0.011809665117145979,2.504663668149892,0.03768382578132455,3,5419,rollout_results.json
dit,vjepa2_rep1,unconditioned,1,0.7469512577858213,0.013820898901093987,2.557615809638012,0.05402103868171253,3,5419,rollout_results.json
dit,vjepa2_rep1,unconditioned,2,0.7440226845190726,0.01107605112908051,2.5722224316547417,0.03779069699198847,3,5419,rollout_results.json
dit,vjepa2_rep1,unconditioned,3,0.743728962332925,0.011736084983545374,2.55888689999329,0.0030240397347416122,3,5419,rollout_results.json
dit,vjepa2_rep1,unconditioned,4,0.7420566190672792,0.012371103481482956,2.5758122408192796,0.038888246451444265,3,5419,rollout_results.json
mlp,vjepa2_rep1,conditioned,1,0.9831615369859756,0.000495508843233305,0.1059772329605571,0.003314107344793329,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep1,conditioned,2,0.9787207171288834,0.0004456825132206128,0.13360461524662556,0.004873859337071143,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep1,conditioned,3,0.9746149322046098,0.0006927348572079663,0.15905959892003102,0.004000949665319831,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep1,conditioned,4,0.9707802986463673,0.0007391263399973918,0.1829125761083845,0.006140026190773608,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep1,unconditioned,1,0.9833299177279734,0.0005624482763871654,0.10484705043468205,0.00356212939270734,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep1,unconditioned,2,0.9784696578627519,0.0007169422979427861,0.13492323688352917,0.003712661387414105,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep1,unconditioned,3,0.9737059004289047,0.0008544531814595925,0.1644504315637388,0.00407472246613613,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep1,unconditioned,4,0.9697794583683091,0.0009938595482359863,0.1888730921501558,0.003608346908025316,3,5419,mlp_rollout_results.json
dit_direct,vjepa2_rep1,conditioned,1,0.9829085998197261,0.0009093194732156817,0.10207065231005058,0.0011071602717444879,3,5419,dit_direct_rollout_results.json
dit_direct,vjepa2_rep1,conditioned,2,0.978098243102821,0.001146947457348596,0.13027455051893996,0.00038609721990186534,3,5419,dit_direct_rollout_results.json
dit_direct,vjepa2_rep1,conditioned,3,0.9736431577280893,0.0014161439236061357,0.15621555741000323,0.00010030625452121331,3,5419,dit_direct_rollout_results.json
dit_direct,vjepa2_rep1,conditioned,4,0.9694363169984829,0.00167998890650844,0.1807029912661984,0.0001441813741973846,3,5419,dit_direct_rollout_results.json
copy_baseline,vjepa2_rep1,none,1,0.9874554197822115,0.0,,,3,5419,rollout_results.json
copy_baseline,vjepa2_rep1,none,2,0.9791801158386219,0.0,,,3,5419,rollout_results.json
copy_baseline,vjepa2_rep1,none,3,0.9724813481131597,0.0,,,3,5419,rollout_results.json
copy_baseline,vjepa2_rep1,none,4,0.9669606753833445,0.0,,,3,5419,rollout_results.json
dit,vjepa2_rep64,conditioned,1,0.7344771096163324,0.03373510143378586,2.5473096610186188,0.37560804210887516,3,5419,rollout_results.json
dit,vjepa2_rep64,conditioned,2,0.7341413755452654,0.03224450692886195,2.5398035541615847,0.3573130177154407,3,5419,rollout_results.json
dit,vjepa2_rep64,conditioned,3,0.7322478270027671,0.03338282408371109,2.5362961116719673,0.3795511360071258,3,5419,rollout_results.json
dit,vjepa2_rep64,conditioned,4,0.7294992185382522,0.03293488887993303,2.5784511891151696,0.40015759347368707,3,5419,rollout_results.json
dit,vjepa2_rep64,unconditioned,1,0.7552250332224301,0.0008089672636172087,2.3026590238764637,0.03948047002346627,3,5419,rollout_results.json
dit,vjepa2_rep64,unconditioned,2,0.75415974316829,0.0028353205988523003,2.3206673492076852,0.076311655898549,3,5419,rollout_results.json
dit,vjepa2_rep64,unconditioned,3,0.7523617754711717,0.0040793587652005634,2.313681135114843,0.06341049744532866,3,5419,rollout_results.json
dit,vjepa2_rep64,unconditioned,4,0.7480694819561426,0.002209137667854128,2.3515390280083976,0.03223854893318483,3,5419,rollout_results.json
mlp,vjepa2_rep64,conditioned,1,0.9875461212081239,0.00025678974095976934,0.07084847851683017,0.0014047084592546688,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep64,conditioned,2,0.9840608427736779,0.0003060306185611826,0.0903327322067821,0.002074175700821781,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep64,conditioned,3,0.9797848177446008,0.0003091151470536364,0.11437046227951131,0.0031158348813649143,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep64,conditioned,4,0.9757883130913768,0.0003801314331860416,0.13678172617708909,0.003933849202165362,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep64,unconditioned,1,0.9877034410409927,0.0001780523940815234,0.07002129633649437,0.0017888680310262724,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep64,unconditioned,2,0.9836530805682685,0.00024055619104041627,0.09264541292656918,0.0023374316759660584,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep64,unconditioned,3,0.9789552347770204,0.0002870440191983952,0.11895167136123393,0.0033879924804857474,3,5419,mlp_rollout_results.json
mlp,vjepa2_rep64,unconditioned,4,0.974897430986835,0.0003955665328589381,0.1416376336749984,0.0036869998900423595,3,5419,mlp_rollout_results.json
dit_direct,vjepa2_rep64,conditioned,1,0.9883687348502761,6.341088310436255e-05,0.062142480744744766,0.0016117731827371288,3,5419,dit_direct_rollout_results.json
dit_direct,vjepa2_rep64,conditioned,2,0.9842982520078639,7.592707819049491e-05,0.08333285476563491,0.0018810235749586628,3,5419,dit_direct_rollout_results.json
dit_direct,vjepa2_rep64,conditioned,3,0.9791734485071274,0.00017099990283479802,0.11002100646924788,0.0021545585119110665,3,5419,dit_direct_rollout_results.json
dit_direct,vjepa2_rep64,conditioned,4,0.9741571237146763,0.0003081662517578878,0.13599674401192632,0.002197321932324808,3,5419,dit_direct_rollout_results.json
copy_baseline,vjepa2_rep64,none,1,0.9914236824883668,0.0,,,3,5419,rollout_results.json
copy_baseline,vjepa2_rep64,none,2,0.9837066616131794,0.0,,,3,5419,rollout_results.json
copy_baseline,vjepa2_rep64,none,3,0.9764273252156913,0.0,,,3,5419,rollout_results.json
copy_baseline,vjepa2_rep64,none,4,0.9703442933206418,0.0,,,3,5419,rollout_results.json
