encoder,seed,quartile,horizon,dit_x0_cossim,mlp_fair_cossim,mlp_residual_cossim,copy_cossim,dit_minus_mlp_residual,dit_minus_mlp_fair,dit_minus_copy,n_windows
dino_vits14,1,Q1 (hardest),4,0.734556,0.758112,0.725439,0.726386,0.009116,-0.023556,0.00817,1355
dino_vits14,1,Q2,4,0.816717,0.825274,0.815168,0.843088,0.001548,-0.008557,-0.026371,1355
dino_vits14,1,Q3,4,0.84887,0.850239,0.849479,0.88785,-0.000609,-0.001369,-0.03898,1354
dino_vits14,1,Q4 (easiest),4,0.868676,0.84904,0.889826,0.954541,-0.021149,0.019637,-0.085865,1355
dino_vits14,2,Q1 (hardest),1,0.804006,0.836744,0.871042,0.877568,-0.067036,-0.032738,-0.073562,1355
dino_vits14,2,Q2,1,0.840599,0.868167,0.914053,0.926385,-0.073454,-0.027567,-0.085785,1355
dino_vits14,2,Q3,1,0.861416,0.883161,0.932806,0.946487,-0.07139,-0.021746,-0.085072,1354
dino_vits14,2,Q4 (easiest),1,0.862573,0.879777,0.960092,0.978941,-0.097519,-0.017204,-0.116368,1355
dino_vits14,2,Q1 (hardest),2,0.780805,0.805081,0.802463,0.813335,-0.021658,-0.024276,-0.03253,1355
dino_vits14,2,Q2,2,0.834633,0.855408,0.867792,0.892224,-0.033159,-0.020775,-0.05759,1355
dino_vits14,2,Q3,2,0.858315,0.873549,0.894907,0.922753,-0.036592,-0.015234,-0.064438,1354
dino_vits14,2,Q4 (easiest),2,0.862736,0.871521,0.928742,0.969372,-0.066007,-0.008785,-0.106636,1355
dino_vits14,2,Q1 (hardest),3,0.760314,0.779146,0.754783,0.764504,0.005531,-0.018832,-0.00419,1355
dino_vits14,2,Q2,3,0.825959,0.840265,0.834704,0.865465,-0.008745,-0.014307,-0.039506,1355
dino_vits14,2,Q3,3,0.851401,0.860586,0.867114,0.9036,-0.015714,-0.009186,-0.0522,1354
dino_vits14,2,Q4 (easiest),3,0.861613,0.860652,0.903967,0.961394,-0.042354,0.000961,-0.099781,1355
dino_vits14,2,Q1 (hardest),4,0.736799,0.757334,0.72368,0.726386,0.01312,-0.020535,0.010413,1355
dino_vits14,2,Q2,4,0.816547,0.827268,0.812454,0.843088,0.004093,-0.010721,-0.026541,1355
dino_vits14,2,Q3,4,0.846509,0.849573,0.848349,0.88785,-0.00184,-0.003064,-0.041341,1354
dino_vits14,2,Q4 (easiest),4,0.861148,0.851772,0.890877,0.954541,-0.02973,0.009376,-0.093393,1355
vit_s16,0,Q1 (hardest),1,0.798288,0.843707,0.858238,0.854667,-0.05995,-0.045419,-0.056379,1355
vit_s16,0,Q2,1,0.840693,0.879245,0.907631,0.91613,-0.066938,-0.038552,-0.075437,1355
vit_s16,0,Q3,1,0.868091,0.90051,0.932046,0.942666,-0.063955,-0.032419,-0.074574,1354
vit_s16,0,Q4 (easiest),1,0.878884,0.900271,0.957357,0.977162,-0.078473,-0.021388,-0.098279,1355
vit_s16,0,Q1 (hardest),2,0.785573,0.823916,0.809596,0.800841,-0.024023,-0.038343,-0.015269,1355
vit_s16,0,Q2,2,0.8327,0.867574,0.870079,0.882157,-0.037379,-0.034874,-0.049457,1355
vit_s16,0,Q3,2,0.862509,0.888526,0.899567,0.91944,-0.037058,-0.026017,-0.056931,1354
vit_s16,0,Q4 (easiest),2,0.876498,0.894046,0.931683,0.967977,-0.055184,-0.017547,-0.091479,1355
vit_s16,0,Q1 (hardest),3,0.772973,0.808604,0.77998,0.765786,-0.007007,-0.035631,0.007187,1355
vit_s16,0,Q2,3,0.826497,0.85329,0.84427,0.857548,-0.017773,-0.026793,-0.031051,1355
vit_s16,0,Q3,3,0.85656,0.877281,0.878246,0.901831,-0.021686,-0.02072,-0.045271,1354
vit_s16,0,Q4 (easiest),3,0.87733,0.883045,0.9129,0.960921,-0.035571,-0.005715,-0.083591,1355
vit_s16,0,Q1 (hardest),4,0.76076,0.795369,0.761549,0.741622,-0.000789,-0.034608,0.019138,1355
vit_s16,0,Q2,4,0.81858,0.841091,0.826187,0.838702,-0.007607,-0.022511,-0.020122,1355
vit_s16,0,Q3,4,0.851356,0.869746,0.865599,0.887804,-0.014243,-0.01839,-0.036448,1354
vit_s16,0,Q4 (easiest),4,0.875046,0.874356,0.902003,0.954511,-0.026957,0.00069,-0.079465,1355
vit_s16,1,Q1 (hardest),1,0.80135,0.84438,0.857432,0.854667,-0.056082,-0.04303,-0.053317,1355
vit_s16,1,Q2,1,0.841005,0.878366,0.907073,0.91613,-0.066069,-0.037362,-0.075125,1355
vit_s16,1,Q3,1,0.870495,0.90115,0.93199,0.942666,-0.061495,-0.030655,-0.07217,1354
vit_s16,1,Q4 (easiest),1,0.876864,0.898839,0.957701,0.977162,-0.080836,-0.021974,-0.100298,1355
vit_s16,1,Q1 (hardest),2,0.78744,0.82537,0.809261,0.800841,-0.021821,-0.03793,-0.013401,1355
vit_s16,1,Q2,2,0.835572,0.867161,0.870157,0.882157,-0.034585,-0.03159,-0.046586,1355
vit_s16,1,Q3,2,0.862339,0.888554,0.899658,0.91944,-0.037319,-0.026215,-0.057101,1354
vit_s16,1,Q4 (easiest),2,0.877203,0.893748,0.932092,0.967977,-0.054889,-0.016545,-0.090774,1355
vit_s16,1,Q1 (hardest),3,0.77612,0.808815,0.780882,0.765786,-0.004762,-0.032695,0.010334,1355
vit_s16,1,Q2,3,0.827901,0.852963,0.843908,0.857548,-0.016007,-0.025062,-0.029647,1355
vit_s16,1,Q3,3,0.857716,0.877514,0.878379,0.901831,-0.020663,-0.019798,-0.044115,1354
vit_s16,1,Q4 (easiest),3,0.877765,0.884601,0.913513,0.960921,-0.035747,-0.006836,-0.083156,1355
vit_s16,1,Q1 (hardest),4,0.75984,0.796631,0.763558,0.741622,-0.003718,-0.036791,0.018218,1355
vit_s16,1,Q2,4,0.82003,0.842661,0.826775,0.838702,-0.006745,-0.022631,-0.018672,1355
vit_s16,1,Q3,4,0.85568,0.869468,0.864826,0.887804,-0.009146,-0.013788,-0.032125,1354
