copy_cossim,cossim,encoder,horizon_step,horizon_trained,model,n_windows,seed,source
0.885429,0.876806,clip_b32,15,16,dit_x0,3619,0,da9
0.883373,0.876088,clip_b32,16,16,dit_x0,3619,0,da9
0.957798,0.932248,clip_b32,1,16,mlp_fair,3619,0,da9
0.942998,0.928026,clip_b32,2,16,mlp_fair,3619,0,da9
0.93258,0.92443,clip_b32,3,16,mlp_fair,3619,0,da9
0.924521,0.921079,clip_b32,4,16,mlp_fair,3619,0,da9
0.91828,0.918039,clip_b32,5,16,mlp_fair,3619,0,da9
0.912724,0.915312,clip_b32,6,16,mlp_fair,3619,0,da9
0.907462,0.912437,clip_b32,7,16,mlp_fair,3619,0,da9
0.903664,0.910803,clip_b32,8,16,mlp_fair,3619,0,da9
0.900488,0.908968,clip_b32,9,16,mlp_fair,3619,0,da9
0.897111,0.907086,clip_b32,10,16,mlp_fair,3619,0,da9
0.894274,0.905821,clip_b32,11,16,mlp_fair,3619,0,da9
0.891395,0.904746,clip_b32,12,16,mlp_fair,3619,0,da9
0.888887,0.90365,clip_b32,13,16,mlp_fair,3619,0,da9
0.886204,0.901968,clip_b32,14,16,mlp_fair,3619,0,da9
0.883883,0.900322,clip_b32,15,16,mlp_fair,3619,0,da9
0.881777,0.89993,clip_b32,16,16,mlp_fair,3619,0,da9
0.957798,0.957115,clip_b32,1,16,mlp_residual,3619,0,da9
0.942998,0.940982,clip_b32,2,16,mlp_residual,3619,0,da9
0.93258,0.929707,clip_b32,3,16,mlp_residual,3619,0,da9
0.924521,0.922289,clip_b32,4,16,mlp_residual,3619,0,da9
0.91828,0.916672,clip_b32,5,16,mlp_residual,3619,0,da9
0.912724,0.912127,clip_b32,6,16,mlp_residual,3619,0,da9
0.907462,0.908382,clip_b32,7,16,mlp_residual,3619,0,da9
0.903664,0.905388,clip_b32,8,16,mlp_residual,3619,0,da9
0.900488,0.902963,clip_b32,9,16,mlp_residual,3619,0,da9
0.897111,0.900595,clip_b32,10,16,mlp_residual,3619,0,da9
0.894274,0.898518,clip_b32,11,16,mlp_residual,3619,0,da9
0.891395,0.896005,clip_b32,12,16,mlp_residual,3619,0,da9
0.888887,0.893973,clip_b32,13,16,mlp_residual,3619,0,da9
0.886204,0.89165,clip_b32,14,16,mlp_residual,3619,0,da9
0.883883,0.890297,clip_b32,15,16,mlp_residual,3619,0,da9
0.881777,0.889264,clip_b32,16,16,mlp_residual,3619,0,da9
,0.958167,clip_b32,1,16,copy,3619,0,da9
,0.943539,clip_b32,2,16,copy,3619,0,da9
,0.933292,clip_b32,3,16,copy,3619,0,da9
,0.925427,clip_b32,4,16,copy,3619,0,da9
,0.919356,clip_b32,5,16,copy,3619,0,da9
,0.913923,clip_b32,6,16,copy,3619,0,da9
,0.908853,clip_b32,7,16,copy,3619,0,da9
,0.905143,clip_b32,8,16,copy,3619,0,da9
,0.901918,clip_b32,9,16,copy,3619,0,da9
,0.898566,clip_b32,10,16,copy,3619,0,da9
,0.895706,clip_b32,11,16,copy,3619,0,da9
,0.892789,clip_b32,12,16,copy,3619,0,da9
,0.890323,clip_b32,13,16,copy,3619,0,da9
,0.887662,clip_b32,14,16,copy,3619,0,da9
,0.885429,clip_b32,15,16,copy,3619,0,da9
,0.883373,clip_b32,16,16,copy,3619,0,da9
