encoder,quartile,horizon,dit_x0_cossim,mlp_fair_cossim,mlp_residual_cossim,copy_cossim,dit_minus_mlp_residual,dit_minus_mlp_fair,dit_minus_copy,n_windows,n_seeds
vit_s16,Q2,3,0.827688992023468,0.852940022945404,0.8432390093803406,0.8575479984283447,-0.015549999661743641,-0.025250999256968498,-0.02985900081694126,1355,3
vit_s16,Q2,4,0.8195649981498718,0.8420739769935608,0.8263949751853943,0.8387020230293274,-0.006829999852925539,-0.022508999332785606,-0.019137000665068626,1355,3
vit_s16,Q3,1,0.8707829713821411,0.9008169770240784,0.9317759871482849,0.9426659941673279,-0.060993000864982605,-0.030034000054001808,-0.07188200205564499,1354,3
vit_s16,Q3,2,0.8631269931793213,0.888625979423523,0.8994489908218384,0.919439971446991,-0.03632200136780739,-0.025498999282717705,-0.05631300061941147,1354,3
vit_s16,Q3,3,0.8583269715309143,0.8775249719619751,0.8779460191726685,0.9018309712409973,-0.01961899921298027,-0.019197000190615654,-0.04350399971008301,1354,3
vit_s16,Q3,4,0.8548280000686646,0.8697299957275391,0.8649089932441711,0.8878039717674255,-0.010080999694764614,-0.014902999624609947,-0.03297699987888336,1354,3
vit_s16,Q4 (easiest),1,0.8787950277328491,0.8996840119361877,0.9575350284576416,0.9771620035171509,-0.07874000072479248,-0.02088800072669983,-0.09836699813604355,1355,3
vit_s16,Q4 (easiest),2,0.878259003162384,0.8940600156784058,0.9322490096092224,0.967976987361908,-0.05398999899625778,-0.015800999477505684,-0.08971799910068512,1355,3
vit_s16,Q4 (easiest),3,0.8785110116004944,0.8843280076980591,0.914214015007019,0.9609209895133972,-0.03570299968123436,-0.005816999822854996,-0.08241000026464462,1355,3
vit_s16,Q4 (easiest),4,0.8762750029563904,0.8762590289115906,0.9038209915161133,0.9545109868049622,-0.027545999735593796,1.5999999959603883e-05,-0.07823599874973297,1355,3
vjepa2_rep1,Q1 (hardest),1,0.9608830213546753,0.9714030027389526,0.9754400253295898,0.9702379703521729,-0.014556000009179115,-0.010518999770283699,-0.009353999979794025,1355,3
vjepa2_rep1,Q1 (hardest),2,0.952226996421814,0.9612389802932739,0.9609439969062805,0.9474530220031738,-0.008716000244021416,-0.00901199970394373,0.004774000030010939,1355,3
vjepa2_rep1,Q1 (hardest),3,0.9443380236625671,0.9533079862594604,0.9512670040130615,0.930042028427124,-0.006928999908268452,-0.008969999849796295,0.014295999892055988,1355,3
vjepa2_rep1,Q1 (hardest),4,0.9361159801483154,0.9464870095252991,0.9432129859924316,0.9163489937782288,-0.007096999790519476,-0.010370999574661255,0.019766999408602715,1355,3
vjepa2_rep1,Q2,1,0.979889988899231,0.9850249886512756,0.9885450005531311,0.9897819757461548,-0.008654999546706676,-0.005133999977260828,-0.009890999644994736,1355,3
vjepa2_rep1,Q2,2,0.9787529706954956,0.9815199971199036,0.9826120138168335,0.9838830232620239,-0.0038590000476688147,-0.0027660001069307327,-0.0051299999468028545,1355,3
vjepa2_rep1,Q2,3,0.9762560129165649,0.9777479767799377,0.9780480265617371,0.9784179925918579,-0.0017920000245794654,-0.001491999952122569,-0.0021619999315589666,1355,3
vjepa2_rep1,Q2,4,0.9738799929618835,0.9741140007972717,0.9734060168266296,0.9736840128898621,0.0004729999927803874,-0.00023400000645779073,0.000195999993593432,1355,3
vjepa2_rep1,Q3,1,0.9843159914016724,0.9879440069198608,0.9917240142822266,0.9935309886932373,-0.007408000063151121,-0.0036279999185353518,-0.009213999845087528,1354,3
vjepa2_rep1,Q3,2,0.9837039709091187,0.9855989813804626,0.987309992313385,0.9904080033302307,-0.0036059999838471413,-0.0018939999863505363,-0.006703999824821949,1354,3
vjepa2_rep1,Q3,3,0.9825249910354614,0.9827970266342163,0.983892023563385,0.9876099824905396,-0.001366000040434301,-0.00027200000477023423,-0.0050849998369812965,1354,3
vjepa2_rep1,Q3,4,0.9814479947090149,0.9803670048713684,0.9809939861297607,0.9849420189857483,0.00045399999362416565,0.0010809999657794833,-0.0034940000623464584,1354,3
vjepa2_rep1,Q4 (easiest),1,0.9848700165748596,0.9882779717445374,0.9944009780883789,0.996737003326416,-0.009530999697744846,-0.003409000113606453,-0.011868000030517578,1355,3
vjepa2_rep1,Q4 (easiest),2,0.9848260283470154,0.9865300059318542,0.991578996181488,0.9956640005111694,-0.0067529999651014805,-0.0017040000529959798,-0.010838000103831291,1355,3
vjepa2_rep1,Q4 (easiest),3,0.9851199984550476,0.9846130013465881,0.9893749952316284,0.994700014591217,-0.004255000036209822,0.0005070000188425183,-0.009580000303685665,1355,3
vjepa2_rep1,Q4 (easiest),4,0.9848430156707764,0.9821599721908569,0.9872450232505798,0.9938200116157532,-0.0024029999040067196,0.002681999932974577,-0.008976999670267105,1355,3
vjepa2_rep64,Q1 (hardest),1,0.9771599769592285,0.9825299978256226,0.988277018070221,0.9781759977340698,-0.011117000132799149,-0.005369999911636114,-0.0010160000529140234,1355,3
vjepa2_rep64,Q1 (hardest),2,0.972350001335144,0.9754130244255066,0.9782729744911194,0.9598730206489563,-0.005923000164330006,-0.003063000040128827,0.012477000243961811,1355,3
vjepa2_rep64,Q1 (hardest),3,0.963811993598938,0.9673730134963989,0.9680600166320801,0.9421859979629517,-0.004248000215739012,-0.003561000106856227,0.021625999361276627,1355,3
vjepa2_rep64,Q1 (hardest),4,0.9539539813995361,0.9598140120506287,0.9594240188598633,0.927191972732544,-0.005470000207424164,-0.005859999917447567,0.02676199935376644,1355,3
vjepa2_rep64,Q2,1,0.9855800271034241,0.9877439737319946,0.9939690232276917,0.9933080077171326,-0.008388999849557877,-0.0021639999467879534,-0.007728000171482563,1355,3
vjepa2_rep64,Q2,2,0.9842529892921448,0.9849939942359924,0.9881669878959656,0.9865040183067322,-0.003913000226020813,-0.0007409999961964786,-0.0022509999107569456,1355,3
vjepa2_rep64,Q2,3,0.9815210103988647,0.981128990650177,0.9831140041351318,0.9805579781532288,-0.0015920000150799751,0.0003929999948013574,0.0009629999985918403,1355,3
vjepa2_rep64,Q2,4,0.9784290194511414,0.9773569703102112,0.9788060188293457,0.9755079746246338,-0.00037799999699927866,0.0010720000136643648,0.0029200001154094934,1355,3
vjepa2_rep64,Q3,1,0.9882619976997375,0.9896690249443054,0.9954540133476257,0.9961220026016235,-0.007191999815404415,-0.0014070000033825636,-0.007860999554395676,1354,3
vjepa2_rep64,Q3,2,0.9874510169029236,0.9874160289764404,0.991051971912384,0.9922249913215637,-0.0036009999457746744,3.600000127335079e-05,-0.004774000030010939,1354,3
vjepa2_rep64,Q3,3,0.9861860275268555,0.9850280284881592,0.9874330163002014,0.9884300231933594,-0.001247999956831336,0.0011569999624043703,-0.002245000097900629,1354,3
vjepa2_rep64,Q3,4,0.9849269986152649,0.9829310178756714,0.9846270084381104,0.9854059815406799,0.0003000000142492354,0.001996000064536929,-0.0004799999878741801,1354,3
