encoder,policy,scene_name,scenario,n,steer_rmse,accel_rmse
clip_b32,left,scene-0098,urban,39,0.02984641336205806,0.03626935295308473
clip_b32,left,scene-0103,urban,40,0.02807023474039419,0.11308880766870977
clip_b32,left,scene-0106,intersection,40,0.061393789249922975,0.05924450146717527
clip_b32,left,scene-0107,intersection,40,0.06256604868726992,0.05614414384416304
clip_b32,left,scene-0110,urban,40,0.040956431908845375,0.02556872945335215
clip_b32,left,scene-0269,urban,40,0.18740962775379838,0.05143906474758462
clip_b32,left,scene-0271,urban,39,0.1437260507102629,0.08137973388440668
clip_b32,left,scene-0273,urban,39,0.06885662718655575,0.07795930357167644
clip_b32,left,scene-0276,intersection,40,0.0942791762302725,0.0911759209388621
clip_b32,left,scene-0346,intersection,40,0.044166081656807674,0.07656795285140812
clip_b32,left,scene-0521,intersection,40,0.03817690322576983,0.06560816785173963
clip_b32,left,scene-0556,intersection,40,0.31597222175200856,0.07148754254680222
clip_b32,left,scene-0561,intersection,40,0.1744216879039284,0.047768320181302344
clip_b32,left,scene-0635,urban,40,0.0681161235432481,0.02066572198692917
clip_b32,left,scene-0638,intersection,41,0.23147950285214156,0.06050951318754711
clip_b32,left,scene-0770,urban,40,0.025446398430865044,0.045522937337160584
clip_b32,left,scene-0771,urban,41,0.026406437882864595,0.04401362890805598
clip_b32,left,scene-0777,urban,40,0.012641373737232868,0.036917976609312494
clip_b32,left,scene-0796,intersection,40,0.047612501773920506,0.036342740343628256
clip_b32,left,scene-0904,intersection,41,0.03852770479764918,0.04381207743583844
clip_b32,left,scene-0905,intersection,40,0.03136159154081092,0.02976556550235536
clip_b32,left,scene-0906,intersection,41,0.09033036301878336,0.04678133454858284
clip_b32,left,scene-0913,urban,40,0.04510877897461811,0.02255439927884002
clip_b32,left,scene-0914,intersection,41,0.1619027133479356,0.060803483066533964
clip_b32,left,scene-0919,urban,39,0.2722286835448445,0.07470966862214144
clip_b32,right,scene-0003,urban,40,0.06578881218977019,0.06108302503880545
clip_b32,right,scene-0013,urban,40,0.04754039087533705,0.036895553176421174
clip_b32,right,scene-0017,intersection,40,0.10324467551716816,0.058343413646985885
clip_b32,right,scene-0092,urban,40,0.0362511168771089,0.0253400739204363
clip_b32,right,scene-0096,intersection,39,0.035096007909848945,0.07803584551371275
clip_b32,right,scene-0098,urban,39,0.02417292501801354,0.03142316456743643
clip_b32,right,scene-0103,urban,40,0.021452550782608378,0.11347997617868456
clip_b32,right,scene-0106,intersection,40,0.07147460513414362,0.05432847433437335
clip_b32,right,scene-0107,intersection,40,0.041198393986528976,0.05585009087733027
clip_b32,right,scene-0110,urban,40,0.04833523217944116,0.021542689005629497
clip_b32,right,scene-0269,urban,40,0.17195215852843582,0.052597954807972434
clip_b32,right,scene-0271,urban,39,0.13076725909093267,0.08661820939827852
clip_b32,right,scene-0273,urban,39,0.061617847260518346,0.07620400108757888
clip_b32,right,scene-0276,intersection,40,0.09269386647012834,0.0952285760670077
clip_b32,right,scene-0346,intersection,40,0.057982094744521255,0.0767090938026313
